listingId,vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
41420189,Sedan Midsize,False,1,bryant,AR,tampa,FL,988.3720930232558,425.0,0.43,0,0,0,1,0,0,0,0,0,0,0
41420189,Pickup,False,1,north little rock,AR,orlando,FL,897.4358974358975,350.0,0.39,0,0,0,0,0,0,1,0,0,0,0
41412322,Car,True,1,longview,TX,winter haven,FL,980.3921568627451,500.0,0.51,0,0,0,1,0,0,0,0,0,0,0
41412322,Convertible,False,0,texarkana,TX,orlando,FL,1000.0,450.0,0.45,0,0,0,0,0,0,0,0,0,0,0
41412322,Car,True,1,greenwood,LA,port saint lucie,FL,1022.7272727272727,450.0,0.44,0,0,0,1,0,0,0,0,0,0,0
41412322,Car,True,1,greenwood,LA,riverview,FL,930.232558139535,400.0,0.43,0,0,0,1,0,0,0,0,0,0,0
41412322,Car,False,1,texarkana,AR,orlando,FL,975.609756097561,400.0,0.41,0,0,0,1,0,0,0,0,0,0,0
41471913,Car,False,1,salem,MO,chicago,IL,423.07692307692304,275.0,0.65,0,0,0,1,0,0,0,0,0,0,0
41471913,Van,False,1,rogersville,MO,des plaines,IL,509.25925925925924,275.0,0.54,0,1,0,0,0,0,0,0,0,0,0
41471913,Coupe,False,0,kimberling city,MO,lake zurich,IL,576.9230769230769,300.0,0.52,0,0,0,0,0,0,0,0,0,0,0
41471913,SUV Large,False,0,branson,MO,glendale heights,IL,550.0,275.0,0.5,0,0,0,0,0,0,0,0,0,0,0
41471913,Car,False,1,jonesboro,AR,villa park,IL,520.8333333333334,250.0,0.48,0,0,0,1,0,0,0,0,0,0,0
41059614,Car,False,1,greenwood,AR,addison,IL,727.2727272727273,400.0,0.55,0,0,0,1,0,0,0,0,0,0,0
41059614,Car,False,1,fort smith,AR,oak forest,IL,694.4444444444443,375.0,0.54,0,0,0,1,0,0,0,0,0,0,0
41059614,Car,False,1,lincoln,AR,chicago,IL,660.377358490566,350.0,0.53,0,0,0,1,0,0,0,0,0,0,0
41059614,Car,False,1,broken arrow,OK,summit argo,IL,686.2745098039215,350.0,0.51,0,0,0,1,0,0,0,0,0,0,0
41059614,Car,False,1,tulsa,OK,addison,IL,691.4893617021277,325.0,0.47,0,0,0,1,0,0,0,0,0,0,0
41459304,Van,True,1,memphis,TN,shelbyville,IN,485.43689320388347,500.0,1.03,0,1,0,0,0,0,0,0,0,0,0
41459304,SUV,False,1,searcy,AR,la grange,KY,500.0,500.0,1.0,0,0,0,0,0,1,0,0,0,0,0
41459304,Sedan Midsize,True,1,ward,AR,miamisburg,OH,654.7619047619048,550.0,0.84,0,0,0,1,0,0,0,0,0,0,0
41459304,Pickup,False,1,fayetteville,AR,mount olivet,KY,715.1898734177215,565.0,0.79,0,0,0,0,0,0,1,0,0,0,0
41459304,Pickup,False,1,clarksville,AR,sellersburg,IN,625.0,450.0,0.72,0,0,0,0,0,0,1,0,0,0,0
41456276,SUV,True,1,scott,AR,washington,DC,1014.4927536231885,700.0,0.69,0,0,0,0,0,1,0,0,0,0,0
