listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,delivery.city,numVehicles,vehiclesCount,vehicleOperable,vehicles,vehicle_make,vehicle_types,wideLoad,pickup.state,pickup.latitude,pickup.longitude,pickup.city,preferred_shipper,price,truckMiles,rating_count,rating_license,rating_score
41221530,"M&J Auto Transport, Inc.",False,AL,33.173002,-87.613500,Tuscaloosa,1,1,False,(Pickup),2013 ford f250,(Pickup),0,AK,60.885768,-149.459365,Hope,False,400,-1,168,valid,99.1%
41503163,MIG Transportation Inc,False,CA,38.642566,-121.442478,sacramento,1,1,True,(SUV),2015 nissan murano,(SUV),0,AK,61.222463,-149.867694,anchorage,False,9999,-1,113,valid,100.0%
41090000,SWAT Inc.,False,WA,47.131890,-122.411850,tacoma,1,1,True,(RV),2002 fleetwood bounder,(RV),0,AK,61.080278,-149.701828,anchorage,False,1400,-1,638,valid,98.4%
41327193,Auto Island Credit,True,AL,33.540737,-86.801371,birmingham,1,1,True,(Other),trailer van,(Other),0,AL,33.405847,-86.952715,bessemer,False,250,17,5,valid,100.0%
41469893,Prominence Motors LLC,True,AL,34.711400,-86.549321,Huntsville,1,1,True,(Car),2006 toyota corolla,(Car),0,AL,33.337626,-86.960735,Bessemer,False,80,125,1,valid,100.0%
41464259,United Road Logistics LLC,True,AL,33.351416,-86.821528,hoover,1,0,True,(Car),2014 kia rio,(Car),0,AL,33.648641,-86.699286,birmingham,False,36,33,1165,valid,98.8%
41484261,United Road Logistics LLC,True,AL,34.759182,-86.689641,huntsville,1,0,True,(Car),2014 mitsubishi outlander sport,(Car),0,AL,34.830274,-87.664543,florence,False,75,60,1165,valid,98.8%
41491190,Carsarrive Network Inc.,True,AL,33.309422,-86.764955,pelham,1,1,True,(Car),2007 chevrolet cobalt inop w/ keys,(Car),0,AL,33.421090,-86.783272,hoover,False,75,17,953,valid,99.4%
41483920,Carsarrive Network Inc.,True,AL,33.351416,-86.821528,hoover,1,1,True,(Car),2011 ram 1500- inop no keys,(Car),0,AL,34.606181,-86.545601,huntsville,False,115,113,953,valid,99.4%
41498035,"Mercury Auto Transport, Inc.",True,AL,32.292881,-84.974062,fort mitchell,1,1,False,(Car),2011 nissan sentra,(Car),0,AL,34.759182,-86.689641,huntsville,False,125,255,2713,valid,100.0%
37115198,Auto Island Credit,True,AL,33.464529,-86.806566,birmingham,5,5,True,"(4 Car, Pickup)","ford fusion
 honda accord
 honda ridgeline
 nissan altima
 toyota camry","(4 Car, Pickup)",0,AL,30.808850,-88.178103,mobile,False,575,249,5,valid,100.0%
41419636,United Road Logistics LLC,True,AL,33.603374,-86.494434,moody,1,0,False,(Car),2012 chrysler 200,(Car),0,AL,31.903154,-85.869093,troy,False,187,156,1165,valid,98.8%
41500201,"Manhattan Auto Transfer, Inc. / M A Trans ...",True,AL,32.570735,-85.575415,auburn,1,1,True,(Car),2014 ford fusion,(Car),0,AL,33.110098,-87.552052,tuscaloosa,False,170,184,835,valid,100.0%
41435130,Dynamic Auto,True,AR,35.921793,-90.535224,brookland,1,1,False,(Pickup),2015 gmc sierra 1500,(Pickup),0,AL,33.462639,-87.092621,bessemer,False,150,315,93,valid,98.9%
41483859,Brewster Hotshots,True,AR,34.603058,-92.491436,bryant,1,1,True,(Pickup),2014 chevrolet silverado 2500hd,(Pickup),0,AL,34.149380,-86.747356,cullman,False,250,372,111,valid,100.0%
41451021,Dynamic Auto,True,AR,35.921793,-90.535224,brookland,1,1,False,(Pickup),2013 ford f-150,(Pickup),0,AL,32.252150,-86.208627,montgomery,False,150,417,93,valid,98.9%
41496658,AT Reliable Trans Inc (prev. At Auto Trans...,True,AZ,33.435698,-111.927836,tempe,1,1,True,(SUV),2010 honda pilot,(SUV),0,AL,33.540920,-86.674476,birmingham,False,0,1714,11,valid,100.0%
41497704,I Move Auto,True,AZ,33.665600,-112.354400,surprise,1,1,False,(Other),1969 chevrolet chevelle,(Other),0,AL,34.367864,-85.567582,gaylesville,False,800,1763,132,valid,100.0%
41454123,Wenzel Freight Brokerage Inc,True,AZ,33.456665,-111.812317,Mesa,1,1,True,(Car),1965 ford mustang,(Car),0,AL,33.932792,-87.306653,Jasper,False,600,1640,1,valid,100.0%
41454857,1st Class Auto Transportation Inc,True,AZ,33.370003,-112.035334,phoenix,1,1,False,(Other),2003 honda accord ex v6 automatic,(Other),0,AL,33.620913,-86.116838,lincoln,False,700,1741,487,valid,99.8%
41219100,Passage Auto Transport,True,CA,34.169747,-118.122206,pasadena,1,1,True,(Car),2010 honda civic,(Car),0,AL,32.557826,-85.479864,auburn,False,700,2164,925,valid,99.5%
41449475,"Mercury Auto Transport, Inc.",True,CA,33.749095,-117.993666,westminster,1,1,True,(Car),2013 lexus es 350,(Car),0,AL,33.351416,-86.821528,birmingham,False,700,2051,2713,valid,100.0%
41487132,Ironclad Auto Transport LLC,True,CA,34.424742,-118.410016,canyon country,1,1,True,(Car),2011 bmw 328,(Car),0,AL,34.620893,-87.013675,decatur,False,640,1972,879,valid,100.0%
41480449,ING Solutions,True,CA,39.544795,-122.266428,willows,1,1,True,(Pickup),2007 ford f250 super 4dr ext,(Pickup),0,AL,30.808850,-88.178103,eight mile,False,1100,2398,707,valid,99.6%
41308306,"DIY Transport, Inc.",True,CA,38.014874,-121.911466,pittsburg,1,1,False,(Car),2006 chrysler sebring,(Car),0,AL,31.368425,-85.869335,enterprise,False,800,2489,1988,valid,100.0%
