vehicles,vehicleOperable,numVehicles,pickup.city,pickup.state,delivery.city,delivery.state,truckMiles,price,price_per_mile,rv,van,travel trailer,car,atv,suv,pickup,other,motorcycle,heavy equipment,boat
Van,False,1,trussville,AL,west covina,CA,2027.7777777777778,1825.0,0.9,0,1,0,0,0,0,0,0,0,0,0
Van,False,1,vestavia,AL,torrance,CA,2040.8163265306123,1000.0,0.49,0,1,0,0,0,0,0,0,0,0,0
Van,False,1,la vergne,TN,los angeles,CA,2021.276595744681,950.0,0.47,0,1,0,0,0,0,0,0,0,0,0
Van,False,1,cornersville,TN,huntington beach,CA,2073.1707317073174,850.0,0.4099999999999999,0,1,0,0,0,0,0,0,0,0,0
Van,False,1,cornersville,TN,huntington beach,CA,2051.2820512820513,800.0,0.39,0,1,0,0,0,0,0,0,0,0,0
SUV,False,1,lebanon,TN,sacramento,CA,2340.425531914894,1100.0,0.47,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,hermitage,TN,beale afb,CA,2325.5813953488373,1000.0,0.43,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,mount juliet,TN,corte madera,CA,2325.5813953488373,1000.0,0.43,0,0,0,0,0,1,0,0,0,0,0
Other,False,1,section,AL,lincoln,CA,2380.952380952381,1000.0,0.42,0,0,0,0,0,0,0,1,0,0,0
SUV,False,1,chattanooga,TN,folsom,CA,2428.571428571429,850.0,0.35,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,hartford,AL,arcadia,CA,2173.913043478261,1000.0,0.45999999999999996,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,blakely,GA,santa fe springs,CA,2205.882352941176,750.0,0.3400000000000001,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,montgomery,AL,santa fe springs,CA,2058.8235294117644,700.0,0.34,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,pensacola,FL,santa fe springs,CA,2058.8235294117644,700.0,0.34,0,0,0,0,0,1,0,0,0,0,0
SUV,False,1,leesburg,GA,gardena,CA,2222.222222222222,600.0,0.27,0,0,0,0,0,1,0,0,0,0,0
Pickup Small,False,0,columbus,MS,vacaville,CA,2272.7272727272725,1000.0,0.44000000000000006,0,0,0,0,0,0,0,0,0,0,0
Pickup,False,1,pelham,AL,mill valley,CA,2375.0,950.0,0.4,0,0,0,0,0,0,1,0,0,0,0
Van,False,1,pelham,AL,sacramento,CA,2375.0,950.0,0.4,0,1,0,0,0,0,0,0,0,0,0
SUV,False,1,birmingham,AL,pleasanton,CA,2307.6923076923076,900.0,0.39,0,0,0,0,0,1,0,0,0,0,0
Sedan Small,False,1,birmingham,AL,santa rosa,CA,2419.3548387096776,750.0,0.31,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,pelham,AL,aurora,CO,1333.3333333333333,600.0,0.45,0,0,0,1,0,0,0,0,0,0,0
Car,False,1,stockbridge,GA,colorado springs,CO,1420.4545454545455,625.0,0.44,0,0,0,1,0,0,0,0,0,0,0
