vehicles,in_operation,num_vehicles,origin,destination,price,miles
"Car, Car, Car, Car, Car, Car, Car, Pickup, Van",0,9,"oceanside, CA","bakersfield, CA",1035,1696.72
Car,0,1,"long beach, CA","paramount, CA",75,12.9983
Car,1,1,"fair oaks, CA","irvine, CA",250,446.429
"Car, Car, Car, Car, Car, Car, Car, Car, SUV",0,9,"hayward, CA","roseville, CA",495,1053.19
Car,0,1,"fresno, CA","santa fe springs, CA",150,238.095
Car,0,1,"colton, CA","carson, CA",85,70.2479
"Car, Car, Car, SUV",0,4,"riverside, CA","sacramento, CA",640,1729.73
Car,0,1,"monterey, CA","fresno, CA",200,151.515
Car,0,1,"colton, CA","sacramento, CA",200,444.444
Car,0,1,"arcadia, CA","santa clara, CA",450,357.143
SUV,0,1,"huntington beach, CA","placentia, CA",65,22.0339
SUV,0,1,"fremont, CA","los angeles, CA",150,357.143
Pickup,0,1,"sun valley, CA","ontario, CA",125,50
"Car, Car",0,2,"fontana, CA","anaheim, CA",150,70.0935
Car,1,1,"lancaster, CA","los angeles, CA",150,93.1677
Pickup,1,1,"fremont, CA","paramount, CA",150,375
SUV,0,1,"anaheim, CA","daly city, CA",225,424.528
"Car, Car, Car, Car, SUV",0,5,"mira loma, CA","oxnard, CA",275,763.889
Car,0,1,"sacramento, CA","paradise, CA",115,96.6387
SUV,1,1,"fresno, CA","south gate, CA",150,220.588
Van,0,1,"monterey park, CA","el monte, CA",850,9.00042
Car,0,1,"san francisco, CA","thousand oaks, CA",300,394.737
Car,0,1,"anaheim, CA","burbank, CA",75,36.0577
Car,0,1,"riverside, CA","walnut creek, CA",200,416.667
Car,0,1,"escondido, CA","thousand oaks, CA",100,163.934
Car,0,1,"riverside, CA","walnut creek, CA",180,418.605
"Car, Car, Car, Car, Car, Car, SUV, SUV",0,8,"riverside, CA","sacramento, CA",1280,3459.46
Car,0,1,"riverside, CA","burbank, CA",75,68.8073
SUV,0,1,"san jose, CA","modesto, CA",55,85.9375
Car,0,1,"hayward, CA","poway, CA",375,487.013
Convertible,0,1,"riverside, CA","santa clara, CA",200,400
Car,0,1,"los angeles, CA","roseville, CA",250,409.836
Van,0,1,"san jose, CA","novato, CA",200,69.9301
