vehicles,in_operation,num_vehicles,origin,destination,price,miles
Car,1,1,"martinez, CA","oakland, CA",100,34.0136
Car,0,1,"martinez, CA","richmond, CA",150,21.9941
Car,0,1,"mira loma, CA","rancho cordova, CA",200,434.783
Sedan Small,0,1,"sacramento, CA","mckinleyville, CA",800,333.333
Car,0,1,"los angeles, CA","richmond, CA",250,378.788
Car,1,1,"san martin, CA","commerce, CA",200,322.581
Pickup,0,1,"roseville, CA","los angeles, CA",200,416.667
Car,0,1,"valencia, CA","bakersfield, CA",80,74.7664
Car,1,1,"lancaster, CA","wilmington, CA",160,103.226
Sedan Midsize,0,1,"mill valley, CA","san diego, CA",350,514.706
Car,0,1,"san diego, CA","san francisco, CA",350,492.958
10 Van,0,1,"sunnyvale, CA","tracy, CA",1501,470.533
"Car, SUV",0,2,"riverside, CA","corte madera, CA",500,892.857
Car,0,1,"aromas, CA","richmond, CA",200,98.0392
Car,0,1,"anaheim, CA","roseville, CA",225,441.176
SUV,0,1,"thousand oaks, CA","escondido, CA",100,163.934
Van,0,1,"long beach, CA","anaheim, CA",75,21.9941
Car,1,1,"bakersfield, CA","anaheim, CA",125,131.579
Van Full-size,0,1,"santa rosa, CA","laguna niguel, CA",475,479.798
SUV,0,1,"san martin, CA","sun valley, CA",175,301.724
Car,1,1,"oakland, CA","riverside, CA",180,418.605
Car,1,1,"fremont, CA","carson, CA",175,372.34
Car,0,1,"hayward, CA","san diego, CA",225,478.723
Car,0,1,"san diego, CA","sun valley, CA",100,133.333
SUV,0,1,"santa rosa, CA","santa fe springs, CA",200,454.545
Car,1,1,"moorpark, CA","richmond, CA",275,387.324
Car,0,1,"van nuys, CA","bakersfield, CA",90,85.7143
Car,0,1,"redding, CA","tracy, CA",155,238.462
Car,0,1,"van nuys, CA","compton, CA",100,34.965
SUV,0,1,"anaheim, CA","anaheim, CA",55,7.99419
Car,0,1,"long beach, CA","plumas lake, CA",400,449.438
Car,0,1,"carlsbad, CA","san carlos, CA",400,465.116
Pickup,0,1,"north hills, CA","central point, OR",600,681.818
SUV,0,1,"baldwin park, CA","san francisco, CA",250,396.825
"Car, Car",0,2,"south san francisco, CA","corona, CA",350,897.436
Car,1,1,"hayward, CA","long beach, CA",200,392.157
SUV,0,1,"lancaster, CA","porterville, CA",175,147.059
Car,0,1,"hayward, CA","san jose, CA",150,30.9917
Car,0,1,"upland, CA","san diego, CA",100,113.636
SUV,0,1,"lemoore, CA","santa fe springs, CA",150,214.286
Car,0,1,"hayward, CA","richmond, CA",125,29.0023
"Car, Car, Car, Car, Car, SUV, SUV",0,7,"fontana, CA","irvine, CA",1120,395.76
Car,0,1,"newport beach, CA","sacramento, CA",200,434.783
Car,0,1,"paramount, CA","san diego, CA",100,102.041
Car,0,1,"gardena, CA","fresno, CA",150,241.935
SUV,0,1,"san diego, CA","long beach, CA",150,110.294
SUV,1,1,"sacramento, CA","richmond, CA",125,82.2368
SUV,0,1,"fontana, CA","paramount, CA",75,50
Pickup,0,1,"gardena, CA","carmichael, CA",400,412.371
Car,0,1,"upland, CA","san diego, CA",100,117.647
SUV,0,1,"del mar, CA","gardena, CA",100,98.0392
2 Car,0,1,"san francisco, CA","san diego, CA",500,1000
SUV,0,1,"west hollywood, CA","redding, CA",500,537.634
SUV,1,1,"rancho cucamonga, CA","montebello, CA",70,41.9162
Car,0,1,"san jose, CA","sacramento, CA",100,131.579
"SUV, SUV",0,2,"san diego, CA","encino, CA",400,283.688
SUV,0,1,"seaside, CA","sacramento, CA",250,196.85
Car,0,1,"tustin, CA","san jose, CA",225,368.852
Van,0,1,"campbell, CA","sylmar, CA",300,337.079
SUV,1,1,"rancho cordova, CA","huntington park, CA",185,393.617
Car,0,1,"sunnyvale, CA","oakland, CA",175,47.043
Car,0,1,"san mateo, CA","pasadena, CA",225,381.356
Car,0,1,"south gate, CA","santa paula, CA",175,88.8325
Car,1,1,"sun valley, CA","gardena, CA",70,30.9735
SUV,0,1,"san diego, CA","gardena, CA",100,107.527
Car,0,1,"woodland hills, CA","ontario, CA",60,65.9341
SUV,0,1,"tracy, CA","valencia, CA",200,289.855
Car,0,1,"folsom, CA","sacramento, CA",55,23.0126
Car,0,1,"bay point, CA","fresno, CA",125,181.159
Other,0,1,"fontana, CA","lynwood, CA",550,52.9865
Car,0,1,"ontario, CA","san jose, CA",200,377.358
Car,0,1,"newport beach, CA","san francisco, CA",300,428.571
Pickup,0,1,"downey, CA","sacramento, CA",325,401.235
Car,1,1,"van nuys, CA","fontana, CA",150,63.0252
Car,0,1,"hayward, CA","sun valley, CA",175,350
Car,0,1,"rosemead, CA","folsom, CA",200,416.667
"Sedan Midsize, Sedan Midsize",0,2,"los angeles, CA","san rafael, CA",585,790.541
Car,0,1,"san francisco, CA","placentia, CA",175,416.667
SUV,1,1,"martinez, CA","carson, CA",200,392.157
Car,0,1,"riverside, CA","seaside, CA",275,381.944
Car,0,1,"stanton, CA","port hueneme, CA",150,85.2273
Car,0,1,"anaheim, CA","san diego, CA",100,98.0392
Car,1,1,"santa maria, CA","north hollywood, CA",400,156.25
SUV,0,1,"san diego, CA","bakersfield, CA",118,214.545
Car,0,1,"van nuys, CA","sunnyvale, CA",250,337.838
SUV Large,0,1,"huntington beach, CA","crescent city, CA",900,833.333
"Car, Car",0,2,"oceanside, CA","anaheim, CA",225,136.364
Car,0,1,"sylmar, CA","santa clara, CA",200,338.983
Car,0,1,"colton, CA","anaheim, CA",75,39.0625
SUV,0,1,"san diego, CA","gardena, CA",125,104.167
Car,0,1,"mountain view, CA","playa vista, CA",250,352.113
Car,0,1,"fremont, CA","santa ana, CA",175,388.889
Car,1,1,"fontana, CA","anaheim, CA",75,35.0467
Van,0,1,"sonoma, CA","sacramento, CA",225,78.125
SUV,0,1,"costa mesa, CA","placentia, CA",60,18.9873
SUV,0,1,"el monte, CA","sacramento, CA",250,390.625
"Car, Car, SUV",1,3,"fontana, CA","long beach, CA",240,180.451
Sedan Midsize,0,1,"san jose, CA","san diego, CA",200,444.444
Car,1,1,"san diego, CA","anaheim, CA",150,111.94
SUV,0,1,"los angeles, CA","san jose, CA",225,346.154
Pickup,1,1,"colton, CA","perris, CA",150,25.9965
SUV,0,1,"atascadero, CA","long beach, CA",300,238.095
Car,0,1,"canoga park, CA","long beach, CA",125,49.0196
Car,0,1,"los angeles, CA","sacramento, CA",190,387.755
"SUV, SUV, SUV",0,3,"folsom, CA","hayward, CA",255,369.565
"Car, Car, Car, Car, Car",0,5,"riverside, CA","oxnard, CA",325,590.909
Pickup,0,1,"carlsbad, CA","long beach, CA",300,75.9494
SUV,0,1,"bellflower, CA","san francisco, CA",250,403.226
Car,0,1,"paramount, CA","woodland hills, CA",85,42.0792
"Car, SUV",0,2,"tracy, CA","modesto, CA",110,79.7101
"Car, Car",0,2,"north hollywood, CA","carson, CA",150,73.8916
SUV,1,1,"carmichael, CA","santa fe springs, CA",200,408.163
Car,0,1,"sacramento, CA","corona, CA",200,444.444
Car,0,1,"santa ana, CA","fontana, CA",85,46.9613
Car,0,1,"Fresno, CA","San Diego, CA",200,338.983
Pickup,1,1,"bay point, CA","fontana, CA",300,410.959
Car,0,1,"encinitas, CA","anaheim, CA",100,75.188
SUV,0,1,"pleasanton, CA","murrieta, CA",225,424.528
Pickup,0,1,"elk grove, CA","pleasanton, CA",150,81.0811
Pickup,0,1,"colton, CA","gardena, CA",125,66.8449
Car,0,1,"sacramento, CA","paramount, CA",300,410.959
SUV,0,1,"hayward, CA","sacramento, CA",100,102.041
SUV Small,0,1,"hanford, CA","long beach, CA",200,222.222
SUV,0,1,"san jose, CA","mission viejo, CA",175,388.889
Car,0,1,"greenbrae, CA","oakland, CA",125,21.0084
SUV,0,1,"sacramento, CA","chula vista, CA",200,512.821
Car,0,1,"healdsburg, CA","laguna hills, CA",400,493.827
Pickup,0,1,"martinez, CA","fresno, CA",120,187.5
SUV,1,1,"davenport, CA","santa cruz, CA",75,12.9983
"Car, Car",0,2,"corona, CA","thousand oaks, CA",140,184.211
SUV,1,1,"north hollywood, CA","anaheim, CA",100,52.0833
Car,1,1,"pittsburg, CA","long beach, CA",175,406.977
Car,1,1,"hayward, CA","paramount, CA",175,380.435
Car,1,1,"pittsburg, CA","anaheim, CA",250,396.825
Car,0,1,"riverside, CA","bakersfield, CA",135,146.739
Car,0,1,"national city, CA","ontario, CA",100,112.36
Car,0,1,"upland, CA","san diego, CA",100,108.696
Car,1,1,"gardena, CA","carson, CA",50,8
Car,0,1,"fremont, CA","north hollywood, CA",175,343.137
Car,0,1,"colton, CA","carson, CA",75,65.7895
Car,1,1,"hayward, CA","carson, CA",175,380.435
Car,0,1,"fontana, CA","carson, CA",95,60.1266
Car,0,1,"tracy, CA","santa ana, CA",150,357.143
Car,0,1,"long beach, CA","anaheim hills, CA",125,31.9693
SUV,0,1,"la jolla, CA","eureka, CA",500,757.576
Car,0,1,"fontana, CA","hayward, CA",200,400
Car,1,1,"fremont, CA","long beach, CA",175,388.889
"Car, Car, Car",0,3,"wilmington, CA","corte madera, CA",700,1250
Pickup,0,1,"hawthorne, CA","south san francisco, CA",400,396.04
"Car, Car",1,2,"riverside, CA","gardena, CA",175,112.179
Car,0,1,"roseville, CA","sparks, NV",425,120.056
Car,0,1,"los angeles, CA","roseville, CA",190,413.043
Car,0,1,"san leandro, CA","modesto, CA",55,69.6203
Van,0,1,"south san francisco, CA","menifee, CA",275,466.102
Car,0,1,"san diego, CA","sunnyvale, CA",225,468.75
Car,0,1,"sonoma, CA","valencia, CA",225,375
Car,0,1,"van nuys, CA","anaheim, CA",75,40.9836
Car,0,1,"west covina, CA","fresno, CA",135,245.455
Car,1,1,"upland, CA","spring valley, CA",175,125.899
Pickup,0,1,"arcata, CA","richmond, CA",375,273.723
SUV,0,1,"salinas, CA","porterville, CA",175,218.75
Other,0,1,"pacheco, CA","tracy, CA",200,57.971
Pickup,1,1,"san martin, CA","los angeles, CA",250,316.456
Car,0,1,"santa rosa, CA","los angeles, CA",400,434.783
Car,0,1,"moreno valley, CA","upland, CA",75,41.8994
Van,0,1,"hayward, CA","el monte, CA",200,377.358
Car,0,1,"paso robles, CA","carson, CA",250,225.225
Pickup,0,1,"santa fe springs, CA","sacramento, CA",275,410.448
Car,0,1,"fresno, CA","long beach, CA",150,241.935
"Car, SUV",0,2,"san diego, CA","la habra, CA",225,212.264
Car,0,1,"fair oaks, CA","paramount, CA",325,416.667
Car,0,1,"sonoma, CA","compton, CA",225,424.528
Car,0,1,"sacramento, CA","duarte, CA",175,388.889
Van,0,1,"petaluma, CA","san jose, CA",150,93.1677
SUV,1,1,"sacramento, CA","commerce, CA",175,397.727
SUV,0,1,"la mirada, CA","oxnard, CA",100,78.125
Car,0,1,"los angeles, CA","modesto, CA",200,322.581
Car,0,1,"los angeles, CA","san diego, CA",150,131.579
Car,0,1,"alhambra, CA","valencia, CA",200,45.045
Car,0,1,"riverside, CA","pleasanton, CA",200,400
Pickup,0,1,"carson, CA","carmichael, CA",240,413.793
Car,1,1,"roseville, CA","richmond, CA",125,94.697
Pickup,1,1,"pittsburg, CA","anaheim, CA",200,400
Car,0,1,"riverside, CA","san leandro, CA",250,416.667
Car,0,1,"fremont, CA","sacramento, CA",90,112.5
Pickup,0,1,"hayward, CA","los angeles, CA",175,372.34
Car,0,1,"oroville, CA","hayward, CA",110,177.419
Car,0,1,"rio linda, CA","valencia, CA",200,363.636
"Car, Car",0,2,"national city, CA","ontario, CA",150,223.881
Pickup,0,1,"riverside, CA","compton, CA",75,53.9568
Car,1,1,"sun valley, CA","clayton, CA",400,338.983
Car,0,1,"torrance, CA","los angeles, CA",150,18.0072
Pickup,0,1,"santa ana, CA","placentia, CA",50,15.9744
Car,0,1,"palm springs, CA","anaheim, CA",150,88.7574
Car,0,1,"gardena, CA","fresno, CA",175,243.056
Car,0,1,"rancho cordova, CA","anaheim, CA",200,425.532
"Car, Car, Car, SUV, SUV",0,5,"riverside, CA","oxnard, CA",325,590.909
Car,0,1,"san luis obispo, CA","ontario, CA",175,239.726
Van,0,1,"fremont, CA","la puente, CA",175,372.34
"Van, Van",1,2,"concord, CA","richmond, CA",200,51.9481
Car,0,1,"fresno, CA","valencia, CA",125,195.312
Car,0,1,"fontana, CA","carson, CA",75,60
Car,0,1,"riverside, CA","sacramento, CA",190,431.818
Car,0,1,"santa monica, CA","murrieta, CA",100,94.3396
Car,0,1,"san jose, CA","modesto, CA",55,85.9375
Car,0,1,"monterey park, CA","bakersfield, CA",100,106.383
Car,0,1,"brisbane, CA","san diego, CA",400,500
"Car, Car, SUV, SUV, SUV",0,5,"mira loma, CA","oxnard, CA",275,539.216
Car,0,1,"fontana, CA","menlo park, CA",250,403.226
Car,0,1,"napa, CA","fremont, CA",250,85.034
Pickup,0,1,"fontana, CA","santa clara, CA",250,390.625
"Car, Car, Car, SUV",0,4,"modesto, CA","pleasanton, CA",220,220
Car,0,1,"oakland, CA","santa ana, CA",200,400
Car,0,1,"ontario, CA","santa maria, CA",190,204.301
"Car, Car, Car, Car",0,4,"murrieta, CA","san francisco, CA",1100,1833.33
SUV,0,1,"fremont, CA","commerce, CA",200,370.37
"2 Car, SUV",0,2,"sausalito, CA","newark, CA",300,162.162
SUV,0,1,"cathedral city, CA","city of industry, CA",150,93.1677
SUV Mid-size,1,1,"turlock, CA","oakland, CA",200,94.7867
Pickup,0,1,"rancho cucamonga, CA","santa ana, CA",75,46.0123
Car,0,1,"sacramento, CA","anaheim, CA",200,416.667
SUV,0,1,"Fremont, CA","Sacramento, CA",55,110
Pickup,0,1,"san diego, CA","union city, CA",335,485.507
Car,1,1,"anaheim, CA","san diego, CA",125,112.613
Other,0,1,"santa maria, CA","martinez, CA",400,287.77
Car,1,1,"fremont, CA","van nuys, CA",200,350.877
Car,0,1,"rancho cordova, CA","carson, CA",175,416.667
Car,0,1,"richmond, CA","port hueneme, CA",250,396.825
Car,0,1,"rancho cordova, CA","wilmington, CA",170,414.634
Car,0,1,"eureka, CA","roseville, CA",375,326.087
Car,0,1,"los angeles, CA","modesto, CA",200,317.46
Car,0,1,"novato, CA","sacramento, CA",100,81.3008
Pickup,1,1,"anaheim, CA","montebello, CA",50,24.0385
Car,0,1,"colton, CA","long beach, CA",70,70.7071
Car,0,1,"gardena, CA","bakersfield, CA",150,123.967
Car,1,1,"san martin, CA","gardena, CA",175,330.189
Car,0,1,"pittsburg, CA","oakland, CA",125,31.0174
Pickup,1,1,"los angeles, CA","long beach, CA",60,20
Van,0,1,"san diego, CA","bloomington, CA",100,98.0392
Sedan Midsize,0,1,"chula vista, CA","arcata, CA",650,783.133
SUV,0,1,"stockton, CA","modesto, CA",55,28.0612
Car,1,1,"bakersfield, CA","gardena, CA",125,122.549
Pickup,1,1,"fontana, CA","gardena, CA",75,59.0551
SUV,0,1,"riverside, CA","bakersfield, CA",90,145.161
SUV,1,1,"fresno, CA","gardena, CA",150,238.095
Pickup,0,1,"West Sacramento, CA","Hayward, CA",85,100
Car,1,1,"fremont, CA","wilmington, CA",200,384.615
Car,0,1,"los angeles, CA","ontario, CA",50,43.8596
SUV,0,1,"los angeles, CA","sacramento, CA",200,377.358
Car,0,1,"san diego, CA","fresno, CA",250,362.319
SUV,0,1,"san diego, CA","tulare, CA",200,289.855
Car,0,1,"la crescenta, CA","chico, CA",400,470.588
Car,0,1,"sacramento, CA","la puente, CA",175,397.727
Car,0,1,"santa cruz, CA","richmond, CA",200,88.8889
2 Vehicles,0,1,"la puente, CA","pacoima, CA",250,79.8722
Car,0,1,"san jose, CA","bass lake, CA",550,183.946
SUV,0,1,"thousand oaks, CA","bakersfield, CA",80,111.111
Car,0,1,"gardena, CA","fresno, CA",175,239.726
Car,0,1,"san bernardino, CA","van nuys, CA",100,76.9231
"Car, Car, Car",0,3,"martinez, CA","sacramento, CA",200,238.095
"Car, Car",0,2,"hayward, CA","south san francisco, CA",200,57.971
SUV,0,1,"gardena, CA","fresno, CA",200,232.558
Car,0,1,"murrieta, CA","campbell, CA",250,416.667
Car,0,1,"costa mesa, CA","san jose, CA",250,378.788
Car,0,1,"morgan hill, CA","murrieta, CA",250,396.825
SUV,0,1,"atascadero, CA","santa fe springs, CA",175,236.486
Other,0,1,"colfax, CA","reno, NV",140,92.7152
SUV,0,1,"folsom, CA","hayward, CA",85,123.188
"SUV, SUV",0,2,"oceanside, CA","montebello, CA",200,168.067
Car,0,1,"poway, CA","south san francisco, CA",350,507.246
Pickup,0,1,"fontana, CA","sunnyvale, CA",225,394.737
"SUV, SUV, SUV",0,3,"fontana, CA","oxnard, CA",195,325
Car,0,1,"fremont, CA","bay point, CA",150,50
Car,0,1,"mira loma, CA","port hueneme, CA",125,108.696
Car,0,1,"rohnert park, CA","compton, CA",175,437.5
Car,0,1,"van nuys, CA","oakland, CA",175,350
Car,0,1,"fontana, CA","rancho cordova, CA",200,434.783
Car,0,1,"riverside, CA","hayward, CA",225,416.667
Car,0,1,"berkeley, CA","san diego, CA",350,492.958
Car,0,1,"fontana, CA","los altos, CA",250,396.825
Car,0,1,"lakewood, CA","compton, CA",75,10
Car,0,1,"gardena, CA","los angeles, CA",60,20.979
Car,1,1,"san martin, CA","sun valley, CA",175,301.724
"Van, Van",0,2,"oakland, CA","riverside, CA",600,845.07
"Pickup, Pickup",0,2,"mira loma, CA","costa mesa, CA",400,87.9121
Car,0,1,"fontana, CA","sacramento, CA",175,437.5
Car,0,1,"monterey, CA","phoenix, OR",450,459.184
Car,0,1,"antelope, CA","hayward, CA",85,116.438
Car,1,1,"van nuys, CA","pomona, CA",100,48.0769
Pickup,0,1,"napa, CA","san diego, CA",300,526.316
"Coupe, Sedan Small, Sedan Small, Sedan Small, Sedan Small, S",0,6,"riverside, CA","sacramento, CA",1100,2682.93
Car,0,1,"anderson, CA","madera, CA",150,306.122
"Car, Car",0,2,"anaheim, CA","gardena, CA",120,56.0748
"Pickup, Pickup, Pickup, Pickup, Pickup, Pickup, Pickup, Pick",0,8,"benicia, CA","livermore, CA",600,394.737
Car,0,1,"colton, CA","lakeside, CA",100,104.167
Car,0,1,"bakersfield, CA","van nuys, CA",125,111.607
Car,0,1,"buena park, CA","chico, CA",350,507.246
Car,0,1,"gardena, CA","san diego, CA",100,113.636
SUV,0,1,"oceanside, CA","north highlands, CA",275,491.071
Car,1,1,"fremont, CA","long beach, CA",100,384.615
Pickup,0,1,"barstow, CA","martinez, CA",300,400
"Car, Car, Car, Car, Car, Car, Car",0,7,"hayward, CA","san jose, CA",350,224.359
Car,0,1,"folsom, CA","brea, CA",200,444.444
Car,0,1,"santa monica, CA","berkeley, CA",325,373.563
2 Vehicles,1,1,"san francisco, CA","concord, CA",300,75.9494
"Car, Car, Car",0,3,"pleasanton, CA","murrieta, CA",600,1276.6
SUV,1,1,"anaheim, CA","anaheim, CA",75,7.99574
Car,1,1,"fremont, CA","paramount, CA",175,380.435
Car,0,1,"north hollywood, CA","san diego, CA",150,126.05
Pickup Crew Cab,0,1,"merced, CA","fresno, CA",125,60.9756
Pickup,1,1,"fallbrook, CA","richmond, CA",500,480.769
"Coupe, Coupe, Coupe",0,3,"livermore, CA","riverside, CA",675,1205.36
SUV,0,1,"corona, CA","bakersfield, CA",90,155.172
Car,0,1,"hesperia, CA","los angeles, CA",100,84.7458
Car,0,1,"sonoma, CA","compton, CA",400,430.108
Other,1,1,"martinez, CA","paramount, CA",300,389.61
Car,0,1,"san diego, CA","sausalito, CA",350,514.706
Car,0,1,"thousand oaks, CA","berkeley, CA",300,389.61
SUV,0,1,"los angeles, CA","redwood city, CA",250,362.319
Car,0,1,"walnut creek, CA","oakland, CA",125,18.0115
SUV,0,1,"bakersfield, CA","visalia, CA",106,82.1705
10 Van,0,1,"sunnyvale, CA","tracy, CA",501,468.224
Car,0,1,"san diego, CA","berkeley, CA",400,493.827
Car,0,1,"van nuys, CA","chico, CA",425,472.222
Van,1,1,"san jose, CA","sacramento, CA",175,127.737
Car,0,1,"costa mesa, CA","sacramento, CA",250,431.034
Pickup,1,1,"rio linda, CA","richmond, CA",125,80.1282
SUV,0,1,"valencia, CA","stockton, CA",250,312.5
Pickup,0,1,"pleasanton, CA","shingle springs, CA",175,119.048
Pickup,1,1,"manteca, CA","newbury park, CA",300,357.143
Car,0,1,"long beach, CA","murrieta, CA",110,73.8255
Car,0,1,"kingman, AZ","cerritos, CA",250,333.333
SUV,0,1,"gardena, CA","fresno, CA",175,233.333
Pickup,0,1,"san diego, CA","fremont, CA",350,460.526
Car,0,1,"monterey, CA","oakland, CA",225,113.065
Other,1,1,"salinas, CA","san jose, CA",115,56.0976
Car,1,1,"los angeles, CA","wilmington, CA",80,16.9851
Other,1,1,"dublin, CA","hayward, CA",75,17.0068
Car,0,1,"norco, CA","oakland, CA",175,416.667
"Car, Car, SUV, SUV",0,4,"riverside, CA","fresno, CA",540,1125
"Car, Car, Car, Car",0,4,"san diego, CA","los angeles, CA",300,500
SUV,0,1,"el portal, CA","monterey, CA",500,185.185
Car,0,1,"gardena, CA","irvine, CA",70,33.9806
Pickup,0,1,"gardnerville, NV","oakland, CA",500,204.082
SUV,0,1,"westlake village, CA","escondido, CA",200,149.254
Other,1,1,"oakland, CA","san jose, CA",90,42.0561
SUV,0,1,"hayward, CA","chula vista, CA",250,490.196
Other,0,1,"yermo, CA","fortuna, CA",400,655.738
Van,0,1,"los angeles, CA","santa clara, CA",300,344.828
Sedan Midsize,0,1,"alameda, CA","san diego, CA",350,479.452
Pickup,0,1,"coronado, CA","citrus heights, CA",425,531.25
"Car, Car, Car, Car",0,4,"riverside, CA","bakersfield, CA",340,607.143
Car,1,1,"placerville, CA","columbia, CA",150,78.125
Van,0,1,"elk grove, CA","hayward, CA",85,106.25
SUV,0,1,"san ramon, CA","san francisco, CA",100,37.037
Car,0,1,"fremont, CA","long beach, CA",175,380.435
Car,1,1,"vallejo, CA","sun valley, CA",200,370.37
"Pickup, Pickup",0,2,"escondido, CA","wilmington, CA",575,208.333
Car,0,1,"fresno, CA","fresno, CA",40,12.987
Car,0,1,"gardena, CA","temecula, CA",125,93.985
SUV,0,1,"orange, CA","elk grove, CA",250,403.226
Pickup,0,1,"fontana, CA","san jose, CA",350,384.615
Van,0,1,"la puente, CA","hayward, CA",300,384.615
Car,0,1,"gardena, CA","thousand oaks, CA",80,51.9481
Pickup,1,1,"san diego, CA","milpitas, CA",450,468.75
SUV,0,1,"fresno, CA","duarte, CA",150,223.881
"Car, Car, Car, SUV, SUV",0,5,"tracy, CA","modesto, CA",275,199.275
Car,0,1,"martinez, CA","san bernardino, CA",175,426.829
Car,0,1,"colton, CA","pomona, CA",80,34.0426
Car,0,1,"fremont, CA","huntington beach, CA",200,392.157
Car,1,1,"gardena, CA","san diego, CA",100,117.647
"Car, Car",0,2,"santa clara, CA","corona, CA",320,800
Car,0,1,"sacramento, CA","fremont, CA",95,111.765
Car,0,1,"sacramento, CA","rocklin, CA",100,17.9856
"Car, Car, Car",0,3,"fremont, CA","tracy, CA",300,132.159
Car,0,1,"carson, CA","san diego, CA",150,115.385
Car,0,1,"gardena, CA","nipomo, CA",225,190.678
"Car, Car, Van, Van, Van",0,5,"tracy, CA","modesto, CA",275,199.275
Car,0,1,"westlake village, CA","hayward, CA",300,375
"Car, Car, Car, Car, Car, Car, Car, Pickup, Van",0,9,"oceanside, CA","santa clara, CA",1600,3902.44
Car,0,1,"san francisco, CA","pomona, CA",225,409.091
Car,1,1,"san diego, CA","commerce, CA",100,128.205
"Car, Car, Car, Car, Car, Car, SUV, SUV, Van",0,9,"riverside, CA","oxnard, CA",495,1076.09
Van,0,1,"san jose, CA","richmond, CA",150,59.0551
Car,0,1,"bay point, CA","valencia, CA",200,333.333
Car,0,1,"santa clara, CA","huntington beach, CA",200,377.358
Heavy Equipment,1,1,"santa rosa, CA","tracy, CA",450,108.959
Car,0,1,"san leandro, CA","arcadia, CA",350,372.34
SUV,1,1,"sacramento, CA","carlsbad, CA",250,471.698
Car,0,1,"atascadero, CA","compton, CA",250,233.645
"Car, Car",0,2,"los angeles, CA","berkeley, CA",650,755.814
SUV,0,1,"anaheim, CA","santa fe springs, CA",50,15.9744
Car,0,1,"huntington beach, CA","gardena, CA",145,23.0159
Car,1,1,"hayward, CA","fontana, CA",200,408.163
Pickup Small,0,1,"reno, NV","chico, CA",280,161.85
Pickup,0,1,"stockton, CA","chino hills, CA",300,375
Car,0,1,"long beach, CA","la jolla, CA",150,104.167
Car,0,1,"fontana, CA","long beach, CA",65,63.7255
SUV,1,1,"martinez, CA","sacramento, CA",120,80
SUV,0,1,"gardena, CA","stanford, CA",250,373.134
Car,0,1,"rancho cordova, CA","long beach, CA",200,408.163
Car,0,1,"gardena, CA","del mar, CA",100,98.0392
Car,0,1,"fresno, CA","bakersfield, CA",150,120
Pickup,0,1,"fremont, CA","anaheim, CA",175,388.889
Pickup,0,1,"newark, CA","union city, CA",150,6.99953
SUV,0,1,"reno, NV","oakland, CA",350,218.75
SUV,0,1,"cerritos, CA","bakersfield, CA",90,118.421
Van,0,1,"fontana, CA","chico, CA",500,520.833
Car,0,1,"eureka, CA","roseville, CA",350,327.103
Car,0,1,"anaheim, CA","hayward, CA",220,392.857
SUV,0,1,"los angeles, CA","stockton, CA",200,350.877
Car,0,1,"san diego, CA","sunnyvale, CA",425,461.957
Car,0,1,"sebastopol, CA","huntington beach, CA",200,465.116
SUV,1,1,"sacramento, CA","los angeles, CA",160,390.244
Pickup,0,1,"la mesa, CA","lynwood, CA",200,122.699
Car,0,1,"anaheim, CA","antioch, CA",226,376.667
Car,0,1,"irvine, CA","elk grove, CA",200,408.163
Car,0,1,"pasadena, CA","san jose, CA",200,338.983
Car,1,1,"anaheim, CA","gardena, CA",90,32.0285
Car,1,1,"san diego, CA","duarte, CA",125,143.678
Car,0,1,"valencia, CA","riverside, CA",80,91.954
Car,0,1,"San Diego, CA","Bakersfield, CA",118,214.545
Car,0,1,"san martin, CA","sacramento, CA",150,141.509
Pickup,0,1,"paramount, CA","burlingame, CA",475,395.833
Pickup,0,1,"san diego, CA","san jose, CA",350,466.667
"Car, Car",0,2,"corona, CA","thousand oaks, CA",134,183.562
Car,0,1,"novato, CA","chico, CA",250,171.233
Car,0,1,"san carlos, CA","paso robles, CA",200,183.486
Pickup,0,1,"lemoore, CA","fullerton, CA",125,227.273
Car,0,1,"escondido, CA","san jose, CA",250,462.963
SUV,0,1,"bellflower, CA","mcclellan, CA",225,416.667
SUV,0,1,"sylmar, CA","santa clara, CA",200,338.983
Other,0,1,"twentynine palms, CA","norwalk, CA",145,138.095
"Van, Van, Van, Van, Van, Van, Van, Van",0,8,"hayward, CA","sacramento, CA",1320,857.143
Car,0,1,"upland, CA","ventura, CA",100,107.527
"Car, Car, Car, SUV, SUV",0,5,"riverside, CA","bakersfield, CA",425,923.913
Car,1,1,"san diego, CA","duarte, CA",150,144.231
Car,0,1,"santa clara, CA","los angeles, CA",175,343.137
"Car, Car, SUV, SUV",0,4,"riverside, CA","corte madera, CA",1050,1779.66
"SUV, SUV",0,2,"mira loma, CA","montebello, CA",140,80
Pickup,0,1,"lemoore, CA","riverside, CA",125,255.102
Car,1,1,"bay point, CA","north highlands, CA",100,83.3333
SUV,0,1,"anaheim, CA","north highlands, CA",200,434.783
Pickup,0,1,"oceanside, CA","sacramento, CA",350,486.111
SUV,0,1,"medford, OR","commerce, CA",400,701.754
Car,0,1,"north hollywood, CA","richmond, CA",275,366.667
SUV,1,1,"fremont, CA","carson, CA",175,372.34
Car,0,1,"riverside, CA","port hueneme, CA",125,121.359
Car,0,1,"stockton, CA","palm desert, CA",300,476.19
Car,0,1,"la verne, CA","santa clara, CA",200,370.37
Van,0,1,"corona, CA","long beach, CA",80,55.1724
Car,0,1,"van nuys, CA","san jose, CA",250,328.947
