vehicles,in_operation,num_vehicles,origin,destination,price,miles,total_weight
Car,1,1,"hayward, CA","glendale, CA",200,363.636,3497
Car,1,1,"los angeles, CA","lakeside, CA",100,136.986,3497
Van,0,1,"mc farland, CA","inglewood, CA",150,137.615,4500
Car,0,1,"redding, CA","oxnard, CA",250,555.556,3497
Car,0,1,"oakland, CA","san carlos, CA",150,35.9712,3497
Pickup,0,1,"north hollywood, CA","anaheim, CA",100,52.0833,6000
Car,0,1,"pasadena, CA","sacramento, CA",225,401.786,3497
Car,0,1,"san francisco, CA","santa barbara, CA",250,316.456,3497
SUV,0,1,"anaheim, CA","port hueneme, CA",150,86.2069,4259
SUV,0,1,"san jose, CA","modesto, CA",55,85.9375,4259
Car,1,1,"los angeles, CA","long beach, CA",50,20,3497
Pickup,0,1,"newark, CA","placentia, CA",200,400,6000
Car,0,1,"santa ana, CA","fresno, CA",175,265.152,3497
SUV,0,1,"san jose, CA","la puente, CA",175,350,4259
"SUV, SUV, SUV",0,3,"los angeles, CA","martinez, CA",550,1122.45,12777
Car,0,1,"colton, CA","north highlands, CA",200,454.545,3497
SUV,1,1,"martinez, CA","gardena, CA",175,388.889,4259
"Van, Van",0,2,"san diego, CA","mira loma, CA",275,213.178,9000
SUV,0,1,"chula vista, CA","sacramento, CA",200,512.821,4259
SUV,0,1,"redondo beach, CA","riverside, CA",100,64.1026,4259
Car,0,1,"fresno, CA","upland, CA",200,256.41,3497
Van,0,1,"pasadena, CA","oakland, CA",325,373.563,4500
SUV,0,1,"gardena, CA","fresno, CA",150,238.095,4259
SUV,0,1,"rocklin, CA","reno, NV",300,115.83,4259
SUV,0,1,"buellton, CA","valencia, CA",125,122.549,4259
Sedan Small,1,1,"sacramento, CA","redlands, CA",250,446.429,2979
Car,0,1,"s san francisco, CA","el monte, CA",175,397.727,3497
SUV,0,1,"bryn mawr, CA","chico, CA",550,533.981,4259
Pickup Crew Cab,0,1,"san francisco, CA","la mesa, CA",300,508.475,5000
Car,0,1,"fontana, CA","long beach, CA",75,60,3497
SUV,1,1,"martinez, CA","inglewood, CA",175,388.889,4259
Car,0,1,"oceanside, CA","west sacramento, CA",250,480.769,3497
Sedan Midsize,0,1,"fremont, CA","fortuna, CA",450,283.019,3497
Car,0,1,"santa monica, CA","palm springs, CA",150,119.048,3497
Car,0,1,"fairfield, CA","sacramento, CA",55,49.1071,3497
Car,0,1,"sacramento, CA","hayward, CA",85,110.39,3497
SUV,0,1,"riverside, CA","roseville, CA",165,458.333,4259
Car,0,1,"morgan hill, CA","w sacramento, CA",150,133.929,3497
Sedan Midsize,0,1,"garden grove, CA","sacramento, CA",200,408.163,3497
Car,0,1,"anaheim, CA","san juan capistrano, CA",75,40.9836,3497
Van,0,1,"victorville, CA","chico, CA",500,500,4500
SUV,0,1,"temecula, CA","san jose, CA",300,434.783,4259
Pickup Crew Cab,0,1,"indio, CA","arcata, CA",550,774.648,5000
Car,0,1,"roseville, CA","hayward, CA",85,119.718,3497
Car,1,1,"gardena, CA","pacoima, CA",75,33.9367,3497
Van Mini,1,1,"fremont, CA","north hollywood, CA",200,344.828,4300
Sedan Small,0,1,"santa clara, CA","san diego, CA",250,454.545,2979
Car,0,1,"glendale, CA","murrieta, CA",100,86.9565,3497
Car,0,1,"fremont, CA","san diego, CA",250,462.963,3497
Van,0,1,"los angeles, CA","fontana, CA",80,66.1157,4500
Car,0,1,"hayward, CA","national city, CA",250,490.196,3497
Car,0,1,"lodi, CA","sacramento, CA",100,34.965,3497
Car,1,1,"ontario, CA","oak view, CA",125,115.741,3497
SUV,1,1,"fresno, CA","carson, CA",150,230.769,4259
SUV,0,1,"roseville, CA","hayward, CA",85,118.056,4259
SUV,0,1,"reno, NV","hayward, CA",200,240.964,4259
Car,0,1,"fresno, CA","camarillo, CA",250,229.358,3497
Other,0,1,"sun valley, CA","ontario, CA",75,50,
Car,0,1,"national city, CA","tracy, CA",300,441.176,3497
SUV,0,1,"reno, NV","seaside, CA",300,333.333,4259
Car,0,1,"San Jose, CA","Modesto, CA",55,88.7097,3497
SUV,0,1,"los angeles, CA","redwood city, CA",325,357.143,4259
SUV,0,1,"san diego, CA","san jose, CA",350,466.667,4259
Car,0,1,"santa monica, CA","chico, CA",400,481.928,3497
Car,0,1,"yorba linda, CA","el cerrito, CA",180,418.605,3497
Car,0,1,"oceanside, CA","south san francisco, CA",275,474.138,3497
Car,0,1,"newport beach, CA","oakland, CA",190,413.043,3497
SUV,0,1,"castaic, CA","bakersfield, CA",80,57.971,4259
SUV,1,1,"martinez, CA","gardena, CA",170,386.364,4259
Pickup,0,1,"san luis obispo, CA","escondido, CA",200,303.03,6000
Car,1,1,"los angeles, CA","carson, CA",50,12.987,3497
Vehicle,0,1,"santa ana, CA","sacramento, CA",225,424.528,
Car,0,1,"garden grove, CA","roseville, CA",180,439.024,3497
Car,0,1,"santa maria, CA","concord, CA",250,287.356,3497
Car,0,1,"fremont, CA","long beach, CA",140,388.889,3497
Car,0,1,"fontana, CA","union city, CA",300,416.667,3497
"Car, Car",0,2,"lakewood, CA","thousand oaks, CA",150,131.579,6994
SUV,0,1,"oceanside, CA","hayward, CA",275,450.82,4259
SUV,0,1,"santa rosa, CA","santa fe springs, CA",200,444.444,4259
"Car, Van",1,2,"concord, CA","richmond, CA",200,51.9481,7997
Car,0,1,"oakland, CA","sacramento, CA",175,86.2069,3497
SUV,1,1,"oceanside, CA","commerce, CA",150,83.7989,4259
Pickup,1,1,"clayton, CA","richmond, CA",125,36.9822,6000
Car,0,1,"woodland hills, CA","gardena, CA",70,37.037,3497
Car,0,1,"selma, CA","hayward, CA",100,188.679,3497
Coupe,1,1,"north hollywood, CA","san leandro, CA",250,347.222,3400
SUV,1,1,"north hollywood, CA","lamont, CA",150,87.2093,4259
"Motorcycle, SUV Large",1,2,"pleasanton, CA","oakley, CA",200,114.286,6062
Pickup,1,1,"fremont, CA","long beach, CA",175,388.889,6000
Car,0,1,"cupertino, CA","palm desert, CA",175,472.973,3497
SUV,0,1,"sacramento, CA","seaside, CA",250,196.85,4259
Pickup,0,1,"san martin, CA","gardena, CA",175,330.189,6000
Car,0,1,"thousand oaks, CA","bakersfield, CA",80,111.111,3497
Car,0,1,"hayward, CA","riverside, CA",200,408.163,3497
Car,1,1,"hayward, CA","carson, CA",200,392.157,3497
Car,0,1,"fremont, CA","long beach, CA",175,388.889,3497
Car,0,1,"van nuys, CA","berkeley, CA",325,361.111,3497
Car,1,1,"bay point, CA","downey, CA",175,380.435,3497
Car,1,1,"spring valley, CA","anaheim, CA",100,107.527,3497
"Pickup, Pickup",0,2,"tracy, CA","la mesa, CA",840,893.617,12000
Car,0,1,"beverly hills, CA","carlsbad, CA",200,105.263,3497
SUV,0,1,"carlsbad, CA","fresno, CA",300,312.5,4259
Van,0,1,"newark, CA","costa mesa, CA",175,397.727,4500
Van,1,1,"citrus heights, CA","richmond, CA",125,89.2857,4500
Car,0,1,"oceanside, CA","san diego, CA",65,34.9462,3497
Car,0,1,"rancho cordova, CA","gardena, CA",160,400,3497
Car,0,1,"perris, CA","arcata, CA",300,714.286,3497
SUV,0,1,"sunnyvale, CA","santa fe springs, CA",175,364.583,4259
Car,0,1,"el cajon, CA","arcata, CA",675,784.884,3497
Boat,0,1,"isleton, CA","santa cruz, CA",1000,120.048,3000
Other,0,1,"milpitas, CA","redwood city, CA",525,30,
Car,0,1,"san luis obispo, CA","compton, CA",225,200.893,3497
SUV,0,1,"hayward, CA","escondido, CA",225,478.723,4259
Pickup,0,1,"fremont, CA","irvine, CA",175,397.727,6000
Other,0,1,"lake elsinore, CA","ukiah, CA",1250,565.611,
SUV,0,1,"sacramento, CA","fresno, CA",200,166.667,4259
Pickup,1,1,"san diego, CA","montebello, CA",100,128.205,6000
Car,0,1,"gardena, CA","los angeles, CA",70,8,3497
SUV,0,1,"valencia, CA","sacramento, CA",170,346.939,4259
"Car, Van",0,2,"pasadena, CA","san rafael, CA",450,789.474,7997
Car,0,1,"oceanside, CA","livermore, CA",300,434.783,3497
Car,0,1,"benicia, CA","san francisco, CA",125,45.9559,3497
Car,0,1,"fontana, CA","sacramento, CA",200,444.444,3497
SUV,0,1,"fontana, CA","long beach, CA",75,64.1026,4259
Pickup,0,1,"pittsburg, CA","anaheim, CA",200,400,6000
Car,0,1,"los angeles, CA","anaheim, CA",85,39.9061,3497
Car,0,1,"petaluma, CA","twentynine palms, CA",350,564.516,3497
Car,0,1,"gardena, CA","san diego, CA",100,117.647,3497
Car,0,1,"rancho cordova, CA","wilmington, CA",200,408.163,3497
"Car, Car, SUV",0,3,"riverside, CA","fresno, CA",405,826.531,11253
"Car, Car, Car, Car, Car, Car",0,6,"rio linda, CA","newark, CA",600,689.655,20982
Van,0,1,"lompoc, CA","norwalk, CA",175,163.551,4500
Van,0,1,"van nuys, CA","riverside, CA",150,73.1707,4500
Other,0,1,"burlingame, CA","tracy, CA",130,64.0394,
Pickup,1,1,"turlock, CA","richmond, CA",175,101.156,6000
Van,0,1,"palo alto, CA","mammoth lakes, CA",450,279.503,4500
Car,0,1,"huntington beach, CA","compton, CA",100,22.9885,3497
Car,0,1,"riverside, CA","fontana, CA",60,18.018,3497
Car,0,1,"san francisco, CA","paso robles, CA",200,208.333,3497
Car,0,1,"van nuys, CA","richmond, CA",350,368.421,3497
Car,0,1,"paso robles, CA","paramount, CA",350,224.359,3497
SUV,0,1,"valencia, CA","sunnyvale, CA",225,316.901,4259
Car,0,1,"hawthorne, CA","ontario, CA",58,51.7857,3497
Sedan Midsize,0,1,"redding, CA","los angeles, CA",300,555.556,3497
Car,0,1,"escondido, CA","gardena, CA",100,100,3497
Car,0,1,"long beach, CA","bakersfield, CA",90,120,3497
Other,0,1,"ontario, CA","chula vista, CA",200,127.389,
Car,0,1,"upland, CA","riverside, CA",75,30,3497
Car,0,1,"simi valley, CA","bakersfield, CA",100,94.3396,3497
Other,0,1,"corona, CA","tracy, CA",200,363.636,
"Car, Car, Car, Pickup, Pickup, Pickup, Pickup, SUV",0,8,"pleasanton, CA","sacramento, CA",750,789.474,38750
Car,0,1,"san francisco, CA","port hueneme, CA",350,368.421,3497
Car,0,1,"richmond, CA","san diego, CA",200,487.805,3497
Car,0,1,"walnut creek, CA","valencia, CA",200,333.333,3497
Car,0,1,"los angeles, CA","sacramento, CA",275,398.551,3497
Car,1,1,"hayward, CA","los angeles, CA",200,363.636,3497
SUV,0,1,"san luis obispo, CA","berkeley, CA",250,238.095,4259
SUV,0,1,"oakland, CA","santa clara, CA",175,43.9698,4259
"Car, Car",0,2,"mira loma, CA","montebello, CA",140,80,6994
"Car, Car, Car, Car",0,4,"san francisco, CA","murrieta, CA",1100,1833.33,13988
Car,0,1,"pasadena, CA","port hueneme, CA",175,66.0377,3497
SUV,0,1,"bloomington, CA","compton, CA",100,59.1716,4259
SUV,0,1,"fremont, CA","sacramento, CA",95,111.765,4259
Pickup,0,1,"sacramento, CA","whittier, CA",225,394.737,6000
SUV,1,1,"fresno, CA","carson, CA",200,243.902,4259
SUV,0,1,"santa rosa, CA","sacramento, CA",125,110.619,4259
Vehicle,0,1,"concord, CA","marina, CA",225,117.188,
SUV,0,1,"burbank, CA","san jose, CA",300,329.67,4259
SUV,0,1,"san diego, CA","tracy, CA",300,441.176,4259
Car,0,1,"south san francisco, CA","upland, CA",185,420.455,3497
Car,0,1,"sunnyvale, CA","roseville, CA",125,137.363,3497
SUV,0,1,"van nuys, CA","anaheim, CA",75,51.0204,4259
Car,0,1,"el cajon, CA","costa mesa, CA",125,101.626,3497
Car,0,1,"goleta, CA","oakland, CA",200,303.03,3497
Pickup,0,1,"woodland, CA","concord, CA",250,75.0751,6000
Car,0,1,"hayward, CA","ontario, CA",150,394.737,3497
SUV,0,1,"beverly hills, CA","sacramento, CA",300,384.615,4259
Car,0,1,"hayward, CA","costa mesa, CA",250,403.226,3497
Car,0,1,"anaheim, CA","north highlands, CA",200,434.783,3497
Car,0,1,"folsom, CA","rancho cucamonga, CA",200,444.444,3497
Car,0,1,"northridge, CA","spring valley, CA",150,164.835,3497
Pickup,1,1,"los angeles, CA","long beach, CA",50,20,6000
Car,0,1,"sacramento, CA","fremont, CA",90,112.5,3497
"Car, Car, Car, Car, Car",0,5,"rio linda, CA","newark, CA",500,574.713,17485
Pickup,1,1,"san diego, CA","moreno valley, CA",300,103.093,6000
Car,1,1,"north hollywood, CA","newark, CA",175,343.137,3497
Car,0,1,"anaheim, CA","northridge, CA",75,64.1026,3497
Car,0,1,"torrance, CA","mission viejo, CA",75,50,3497
