listingId,formattedCompany,comparable,delivery.state,delivery.latitude,delivery.longitude,numVehicles,vehiclesCount,vehicleOperable,vehicles,wideLoad,pickup.state,pickup.latitude,pickup.longitude,preferred_shipper,price,rating_count,rating_license,rating_score
41429999,RoadRunner Auto Transport,1,FL,27.250705,-80.239969,1,1,1,(Car),0,AL,33.694836,-85.733730,0,300,2593,1,100.0%
41491659,Hi-Tech Autoworks Inc.,1,FL,26.620586,-81.873213,1,1,1,(Pickup),0,AL,34.815206,-86.887521,0,700,16,1,100.0%
41444425,CJ Auto Transport Services Corp,1,FL,25.604410,-80.335216,1,1,0,(Car),0,AL,33.337626,-86.960735,0,300,261,1,100.0%
41473895,Autovid,1,FL,30.344659,-81.734322,6,6,0,"(4 Car, 2 Van)",0,AL,33.540920,-86.674476,0,200,243,1,98.8%
41415600,The Motorsport Lab Inc.,0,FL,27.336400,-82.530800,1,1,1,(Car),0,AL,33.519260,-86.807546,0,700,7,1,100.0%
41448016,"DIY Transport, Inc.",1,FL,28.706389,-81.343062,4,4,0,"(2 Car, Pickup, SUV)",0,AL,33.351416,-86.821528,0,800,1977,1,100.0%
41491633,Culver Carriers Brokerage LLC,1,FL,27.919386,-82.380352,1,1,1,(Van),0,AL,33.540920,-86.674476,0,250,1042,1,99.9%
41450160,RNR Logistics,1,FL,30.413881,-81.777983,1,1,0,(Car),0,AL,31.146161,-85.412448,0,250,307,1,100.0%
41486594,CSR Investment Corp Group,1,FL,25.835822,-80.301342,3,3,1,(3 Car),0,AL,31.146161,-85.412448,0,700,3,1,100.0%
41363385,LMR Auto Trans Brok,1,FL,27.810426,-81.986616,1,1,0,(Pickup),0,AL,34.432986,-86.931126,0,595,1407,1,100.0%
41485426,Intertrade Inc,1,FL,25.812534,-80.240440,1,1,0,(Car),0,AL,31.365057,-85.316170,0,300,1277,1,98.5%
41487353,Criass Auto USA (prev. Cam Auto Sale Inc),1,FL,26.137655,-80.123016,1,1,1,(Car),0,AL,31.365057,-85.316170,0,300,232,1,98.7%
